ม|ู|น|ช|า|ว:เ:ว|อ:ร:์|	m|u|n|s:h|o|w:e|r|
ย:ู|ด|อ|ล:ล:์|	u|d|a|l:l|
เ:อ|ล|ต|ั|น|	e|l|t|o|n|
บ|ร|ั|น|ช|์|	b|r|u|n|c|h|
พ:อ|ล|ี:น|	p:a:u|l|i:n:e|
เ:ล|ฟ|เ:ฟ:ิ|ร:์|ต|ส:์|	l|e:f|f:e|r|t|s|
ร|ิ|ป|ส:์|	r|i|p|s|
ด|อ|ล|เ:ล:ิ|ร:์|ด|	d|o|l|l:a|r|d|
แ:ก|โ:ด|ล:ิ:เ|น|ี:ย:ม|	g|a:d:o|l:i|n:i|u:m|
แ:อ|ง|เ:ก:ิ|ส|	a|n|g:a|s|
บ:ุ|๊:ก|	b:o:o|k|
เ:อ|ด|ส|ั|น|	e|d|s|o|n|
ม|อ|ล|ล|ิ|ซ|อ|ล:ล:์|	m|o|l|l|i|s|o|l:s|
แ:ม|น|เ:ต|ิ:้:น|	m|a:n|t|o:n|
ไ:ม:เ|ร|ี|่:ย:น|	m:y|r|i|a:n|
ด|อ|ล:ล:์|	d|o|l:l|
แ:ฮ|ล:ล|ิ:ต|	h:a:l|l|e:t:t|
ไ:ด|น|า|ม|ิ|ก|	d|y:n|a|m|i|c|
ฟ|า|ร:์|ล:ี:่|ย:์|	f|a|r|l:e|y|
ด|า|ว|ด|ิ:ง|	d|o|w|d|i:n:g|
แ:ซ|ป|ไ:ฟ|ร|์|	s|a:p|p:h:i|r|e|
ว|ิ|ล|ล|า|ร:์|ด|	w|i|l|l|a|r|d|
เ:ป|โ|ต|ร|ก|ล|ี|ฟ|	p|e|t|r:o|g|l|y|p:h|
เ|บ|อ:ร:์|น|	b|e|r|n|
เ:ซ|ล|ิ|ก|	s|e:l|i|g|
เ:พ|ี|ย:ร:์|ส|	p|i:e|r|s|
เ:ค|ล|เ:ว|อ:ร:์|	c|l|a:v:e|r|
เ:ด|า|ส|์|	d|o:w|s|e|
เ:ท|ล|ล|ู|โ|ร|ม:ิ:เ|ต|อ:ร:์|	t|e:l|l|u|r|o|m:e|t:e|r|
ท|า|ร:์|ค|ิ:ง|ต|ั|น|,|	t|a|r|k|i:n:g|t|o|n|,|
ฮ|อ|ร:์|เ:ร:ิ|ก|ส:์|	h|o|r|r:o|c:k|s|
ท|า|ว|า|เ:ร|ส|	t|a|v|a|r|e:s|
ไ:อ|ด:า|โ|ฮ|	i|d|a|h:o|
ส|โ:น|ว:์|	s|n:o:w|e|
โ:พ|ร|โ|ท|พ|ล|า|ซ:ึ:ม|	p|r|o|t:o|p|l|a|s:m|
เ:ม|ิ:่:ก|แ:ก:เ|ว|ิ:่:น|	m|c|g:a|v|i:n|
เ:อ:ส|เ:อ:ส|ไ:อ|	s|s|i|
ร|ั|ต:ส:์|	r|u|t:z|
เ:ท|เ:อ:อ|ร:์|	t:h:a|y:e|r|
เ:พ|ง|ก:์|	p|e:n:c|k|
เ:ร|น|เ:จ:อ|ร:์|ส|	r|a:n|g:e|r|s|
ไ|ท|ท|ั|น|อ:อ|ไ:จ|ต|์|	t|i|t|a|n|a|u:g:i|t|e|
เ:ก|ร|เ:ว|อ:ร:์|	g|r|a:v:e|r|
โ:ฮ|ล|ด|ร|ิ|จ|	h|o:l|d|r|i|d:g:e|
ส|ต|ร|ั|ม|	s|t|r|u|m|
เ:ม|ิ:่:ก|ค:ู|๊:ก|	m|c|c:o:o|k|
อ:ี|เ:ด:ิ|น|ส:์|	e|d:e|n|s|
น|ิ|ล|ส:์|	n|i|l|s|
เ:ม|ร|ี:เ:อ|็:ต|ท|า|	m|a:r|i:e|t|t|a|
จ|ิ|ก|ซ|อ:ว:์|	j|i|g|s|a:w|
ย|อ|ร:์|เ:ด|ิ:่|น|	y|o|r|d|a|n|
แ:ค|ป|ร:่:า|	c|a:p|r:a|
ล:ี|เ:ท|ิ:่:ม|	l:e:a|t:h:a|m|
อ:อ|ม|ไ:บ|	o|m|b:a:i|
ส|ต:็:อ|ต:ส:์|	s|t:o|t:z|
เ|ฮ|	h:a|i:g:h|
ค|อ|ร:์|ร|ั|ป|ช:ั|น|	c|o|r|r|u|p|t:i:o|n|
เ:ฟ:ิ|ร:์|ส|	f:u|r|s:e|
โ:อ:เ|ฮ|น|ร|ี|	o|h|e:n|r|y|
เ:ซ|อ:ร:์|เ:ค|อ:ร:์|	z|u:r|c:h:e|r|
เ:ล|ฟ|เ:ค:อ|ว|ิ|ต:ส:์|	l|e:f|k:o|w|i|t:z|
เ:บ|ร|เ:อ:อ|ร:์|	b|r:e|y:e|r|
เ:อ:ก|ซ:อ|ส|ต:์|	e:x|h:a:u|s|t|
ไ:ร:เ|ด|อ:ร:์|,|	r:y|d:e|r|,|
เ:ค|ล|	k:a:i|l|
อ:ิ|แ:ร|ส|ม|ั|ส|	e|r|a:s|m|u|s|
ว|ิ|ม|บ|อ|ร:์|น|	w|i|m|b|o|r|n:e|
แ:บ|ค|ส|ป|ิ|น|	b:a:c|k|s|p|i|n|
ซ:ี|จ:ี|	c|g|
อ|อ:ร:์|ซ|ี|น:ี:้|	o|r|s|i|n:i|
บ:ิ|ส|ล|ี:ย:์|	b:e:e|s|l|e:y|
ฟ|ร|ิ|เ:ด:ิ|ล|	f|r|i:e|d:e|l|
ม:ู|ด:ด:ี|	m:o:o|d:y|
ฟ|อ|ร|ี:่|	f|o|r:e|e|
แ|อ:ร|ี|	a:i|r|y|
แ:ท|ต|เ:ช|อ:ร:์|	t:h:a|t|c:h:e|r|
แ:ร|น|ส|ั|น|	r|a:n|s|o|n|
ก|ึ|น:ซ:์|	g|u|n:z|
แ:ม:็|ก|ก|ี|	m:a|g|g|y|
แ:พ:็|ต|ต|ี|้|	p:a|t|t|e|e|
ค|า|ต|ิ|ง|ก|า|	c|a|a:t|i|n|g|a|
ไ:ว|น|์:โ:ฮ|ล|ด:์|	w:e:i|n|h:o|l|d|
โ:อ|อ:า|ฮ|ู|	o|a|h|u|
เ:พ:เ|ล|ิ:ต|	p:e|l:o|t|
ค:ี|น:่:า|	k:e:e|n:a|
แ:ซ|ด|ด:์|	s|a:d|d|
แ:ว|น|เ:ด:อ|ร:์|	v|a:n|d:e|r|
ไ:ฮ|พ|อ|เ:ท|ซ|ิ|ส|	h|y:p|o|t:h:e|s|i|s|
พ:ี|เ:อ|อ:ร|ิ|ส|	p|e|r|i:e|s|
อ:ู|พ|ิ|ต|	u|p|i|t|
บ:ุ|๊:ก|ช|อ|ป|	b:o:o|k|s:h|o|p|
เ:ฟ|ล|เ:ล:ิ|ร:์|ส|	f|e:l|l:e|r|s|
โ|น|ว|ิ|ก|	n|o|v|i|k|
บ|ั|ส|ซ:ี:่|	b|u|s|s:y|
โ:ซ|โ|ก|ต|ร|า|	s|o|c|o:t|r|a|
เ:ฟ|ิ|ร:์|ม|แ|ว|ร|์|	f|i|r|m|w|a|r|e|
เ:บ:อ|ร:์|ช|ฟ|ิ|ล|ด:์|	b:u|r|c:h|f|i:e|l|d|
ส:ต:อ|บ|อ|า|ร:์|ต|	s:t|e|u|a|r|t|
ค|า|ร:์:เ|ด|ิ:่:น|	c|a|r|d:e|n|
ก|า|ร:์|	k|a|r|
ก|า:ห:์|ไ:น|ต|์|	g|a:h|n|i:t|e|
แ:อ|ส|เ:ซ:ม|บ|ล|ี|	a|s:s|e:m|b|l|y|
ค|ร|ิ|ส|ต|ี|	c:h|r|i|s|t|i:e|
อ:ุ|น|เ:ท:อ|ร:์|ไ:ม|เ|ย|อ:ร:์|	u|n|t:e|r|m|e|y:e|r|
ส:เ|ต|เ:ค|อ:ร:์|	s|t:e|c:k:e|r|
เ:ม:ิ|ก:แ:ค|น|ด|ร|ิ|ว|	m|c:a|n|d|r|e|w|
โ:ช|ร|เ:อ|อ:ร:์|	s:c:h|r:o|e|r|
พ|ร|ี|น:่:า|	p|r|i|n:a|
ฮ|ิ|น|ด|ู|ส|	h|i|n|d|u|s|
เ:ท|ย|์:เ:ล|อ:ร:์|	t|a:i|l:o|r|
เ:พ:อ|ร:์|ซ|ิ|โ:ก:้|	p:e|r|s|i|c:o|
น:ี|เ:ล:ิ|น|	n:e:a|l:o|n|
ม|ิ|ด|เ:ด:ิ|ล|บ|ร:ู|๊:ก|	m|i|d|d|l:e|b|r:o:o|k|
ไ:ร:อ|ั|น|	r:y|a|n|
เ:บ:ิ|ล|ล:ู|	b:a|l|l:o:u|
บ|า|ร:์|เ|บ|อ:ร:์|ร|ี|	b|a|r|b|e|r|r|y|
บ|ร:ี|ท|ด:์|	b|r:e:a|t:h:e|d|
ฮ|ิ|น|ด|ู|ก|ู|ช|	h|i|n|d|u|k|u|s:h|
แ:อ|น|ต|ิ|น|ิ|ว|ท|ร|ิ|โ:น|	a|n|t|i|n|e|u|t|r|i:n|o|
อ:อ|ก:ไ:ซ|ด|์|	o|x:i|d|e|
ฟ|ั|ง|ก|ั|ส|	f|u|n|g|u|s|
แ:ฮ|น|ด:์|ล|ิ:่:น|	h|a:n|d|l|i:n|
เ:อ|น:โ|ด|พ|ล|า|ซ:ึ:ม|	e|n|d:o|p|l|a|s:m|
ม|อ|ห|ร:์|	m|o|h|r|
ไ:ล|ล|์|	l|y:l|e|
อ:ั|ล|เ:ม|ิ:่:น|	u|l:l|m:a:n|n|
น|ี:พ|ิ:้:น|	n:e|p:e:a|n|
ฟ|า|ร:์|เ:ม:อ|ร:์|	f|a|r|m:e|r|
อ:ี|เ:ค:ิ|น|	i|k:a|n|
ด|ร|า|ก|อ|น|	d|r|a|g|o|n|
เ:น|ก|ร|อ|ส|	n|e:g|r|o|s|
ไ:ก|ร:เ|น|อ:ร:์|	g|r:e:i|n:e|r|
เ:ล|ท|า|ร:์|ต|	l|e:t|a|r|t:e|
เ:อ|ก:ซ:์|เ:พ|ร|ส|	e|x|p|r:e|s:s|
เ:ร|ม|แ:บ|ร|น|ต:์|	r|e:m|b|r:a|n:d|t|
พ|ี|ต|	p|i:e|t|
ล|ิ|น|เ:ด|า|เ:อ|อ:ร:์|	l|i|n|d|a|u|e:r|
เ:ซ|า|ท|์|ว:ู|ด|	s|o:u|t|h|w:o:o|d|
เ:อ|อ:ร:์|เ:น|ส|ต:์|	e|r|n|e:s|t|
เ:ฮ|ฟ|เ:ม|ิ:่|น|	h|a:v:e|m|a|n|
ว:ี|เ:จ|ล|า|	w:e:i|g|e:l|a|
แ:อ|ฟ|ร|า|	a|p:h|r|a|
ด:ี:เ|ล|ย:์|	d:e|l:a|y|
เ:พ|า|โ|ล|	p|a|o|l:o|
โ:อ|ล|ิ|โ:ก:เ|ค|ล|ส|	o|l|i|g:o|c|l|a:s:e|
เ:อ:ช|ท:ี|ท:ี|พ:ี|	h|t|t|p|
ค|ล:อ|ด:ี:้|	c|l:a:u|d:y|
พ|ิ|ง|เ:ค:ิ|ล|	p|i|n|k:e|l|
เ:ว:เ|น|อ:ร:ิ|ส|	v:e|n:e|r:i|s|
ด|า|ร:์|ว|ิ|น|,|	d|a|r|w|i|n|,|
แ:ค:็|ต|ต:า:ล|็:อ:ก|	c:a|t|a:l|o:g|
ว|ี|เ:น:ิ|ล|	v|e|n:a|l|
ว:ุ|เ|ล|ิ:่:น|	w:o:o|l|l:e|n|
บ|อ|น|น|์|	b|o|n|n|e|
ส|ต|ร|ิ|ง:ก:์|เ:ล:อ|ร:์|	s|t|r|i|n:k|l:e|r|
ค|อ|ม|เ:พ|จ|	c|o|m|p|a:g:e|
เ:ม|ิ:่:ก|ก|ี|ฟ|น|ี:ย:์|	m|c|g|i|v|n|e:y|
ส:เ|ต|ด|	s|t:e|a:d|
อ:า|ร:ิ|น|ส:์|	a|h:r:e|n|s|
แ|ล|ง|เ:ฟ:ิ|ร:์|ด|	l:a|n|g|f:o|r|d|
ว|ิ|ล|ล|า|ร:์|เ:ร|ี:ย|ล|	v|i|l|l|a:r|r|e|a|l|
แ:บ|ร:์|แ|ร|ร:์|	b:a:r|r|e|r|e|
แ|ล|ง|ส:์|ต|ั|น|	l:a|n|g|s|t|o|n|
แ:ฮ|ต|ฟ|ิ|ล|ด:์|	h|a:t|f|i:e|l|d|
ฮ|า|ร:์|ค|ิ:้:น|	h|a|r|k|i:n|
ซ|ั|ล|ล:ี:่|	s|u|l|l:y|
เ:ม:อ|ร:์|แ:ร|ม|	m:u|r|r|a:m|
ไ:ฮ|โ|ด|ร|พ|อ|น|ิ|ก|ส:์|	h|y|d|r:o|p|o|n|i|c|s|
ส|โ:ต:เ|น|อ:ร:์|	s|t:o|n:e|r|
ด|ั|ม|ป|์:เ:บ|ล:ล:์|	d|u|m|p:-|b:e|l:l|
ส:แ:ต|ร|เ:น:อ|แ|ฮ|น|	s:t|r:a|n|a|h|a:n|
ไ:พ|โ|ร|ล|ู|ไ|ซ|ต|์|	p|y|r:o|l|u|s|i|t|e|
ฮ|า|เ:ร:็|ม|	h|a|r:e|m|
ฟ|ุ|ล|ส|ั|น|	f|u|l|s|o|n|
โ:บ|ส|เ:ต:็|ด|	b:o:u|s|t:e|a:d|
เ:ซ|น|ต:ิ:เ|ม|ต|ร|	c|e:n|t:i|m:e|t:e|r|
โ|ค|ท|ิ|โ|ล|ซ:อ|ร:์|	c|o|t|y|l|o|s:a:u|r|
แ:ฮ|ร:์:เ|ร|ิ:ด|	h:e:r|r|o|d|
แ:ร|ส|ค|ิ:้:น|	r|a:s|k|i:n|
พ|ร|า|โ:ด:้|	p|r|a|d:o|
บ|ุ|๊:ช|	b|u|s:h:e|
ซ|ั|ป|เ:ป:อ|ร:์|	s|u|p|p:e|r|
ย|า|ค|็:อ:บ|	j|a|k|o:b|
แ:ล|ส:เ:ต|อ:ร:์|	l:a:s|t|e:r|
ม|า|ร:์|แ:ช|ม|	m|a|r|s:h:a|m|
เ:ม:ิ|ก|เ:ค|ร|ย:์|	m|c|c|r:a|e|
โ:ต:เ|ก|ี:ย:ว|	t:o|k|y:o|
พ:ี|บ|อ|ด|ี|	p:e:a|b|o|d|y|
อ:ั:ล|ด:์|เ:ว:ิ|ร:์|ท|	a:l|d|w:o|r|t:h|
ล|ิ|ต|ร|	l|i|t|e|
เ:ช|ิ:ล|เ|ล|ล:่:า|	s:h:a|l|a|l|a|
ก|ร|ิ|น|น|ิ:่:ง|	g|r|i|n:n|i|n:g|
บ|ร|ั:่:น|ด|ี|	b|r|a:n|d|y|
อ:ี|ว|ิ|น|ส:์|	i|v|i|n|s|
เ:อ|น|เ:ด:ิ|ร:์|ส|	e|n|d:e|r|s|
โ|ล|ว|ิ|น|ส:์|	l|o|v|i|n|s|
จ:ู:เ|ล|ี:ย|ส|	j:u|l|i|u:s|
เ:ซ|ป|ล|ิ:่:น|	z|e:p|e:l|i:n|
แ:พ:็|ส|โ:ค|	p:a|s|c:o:e|
โ:ร|ซ:ี|น:่:า|	r:o:s|i|n:a|
เ:อ|อ:ร:์|ว|ิ:ง|,|	e|r|v|i:n:g|,|
อ:ะ|เ|ล:็:ก|ซ|า|น|เ:ด:อ|ร:์|	a|l:e|k:-|s|a|n|d:e|r|
เ:อ|ล|จ|ิ|น|	e|l|g|i|n|
แ:ซ|น|เ:ด:อ|ร:์|ส|ั|น|	s|a:n|d:e|r|s|o|n|
แ:ก|ร:์|ร:ิ|ต|	g:a:r|r|e|t|
โ:ฮ|ป|เ|ว|ล|	h|o:p|e|w:e|l:l|
ค|า|ซ|อ|ส|	k|a|s|o|s|
เ:อ|เ|ล|อ:ร:์|เ:ม|ิ:่|น|	e|l|l:e|r|m|a|n|
อ:ะ:เ|ม|ร:ิ:เ|ซ|ี:ย:ม|	a|m:e|r:i|c:i|u:m|
ม|อ|น|ท|า|ก|ู|	m|o|n|t|a|g|u|
เ:อ|ล|เ:ฟ:ิ|น|ไ:บ|น:์|	e|l|f:e|n|b:e:i|n|
อ:อ|ล:ล|ี:่|	o|l:l:i|e|
อ:ิ|น|โ:ท|เ:ว:ิ|่:น|	e|n|t:h:o|v:e|n|
อ:า|ร:์|ค|ิ|เ|ท|ก|เ:ช:อ|ร|์|	a|r|c:h|i|t|e|c|t:u|r|e|
ล:็:อ|ก|ร|ิ|จ|	l:o|c:k|r|i|d:g:e|
แ:ม|ท|ท|ิ|ว|	m|a:t|h|i|e:u|
เ:ก|อ:ร:์|เ:ด|อ:เ:ล|อ:ร:์|	g|i:r|d|l:e|r|
ส:เ|ป|ี:ย|ร:์|	s|p:e|i|r|
แ:อ:็|ด:เ:ด|ิ:ล|เ:ม|ิ:่|น|	a|d:e|l|m|a|n|
เ:จ:อ|แ|ร|ฟ|ฟ:่:า|	g:i|r|a|f|f:a|
ฮ|ิ|ป|	h|i|p|
บ|อ|ร:์:ร|ิ:ง|	b|o|r|i:n:g|
ไ:ค|ล|น:์|,|	k|l|e:i:n|,|
ช|ว|า|ร:์|ซ|	s:c:h|w|a|r|z|
ร|ี|ว|ิ|ว|	r|e|v|i:e|w|
เ:พ:ิ|ต:เ:ท|ล|	p:a|t:e|l|
น|อ|ร:่:า|ห:์|	n|o|r:a|h|
แ:อ|ล|ว|อ|ร:์|	a|l|w|a|r|
เ:พ|ี|ย:ร:์|ซ|	p|e:a|r|s:e|
โ:ค:๊|ก|	c:o|c:k:e|
ไ:อ|โ|ซ|ไ:ฮ|เ|ป|อ:ร:์|เ:ท|อ:ร:์|ม|ิ|ก|	i|s|o|h|y|p:e|r|t:h:e|r|m|i|c|
ซ|า|ร|ิ|น|	s|a|r|i|n|
ฟ:เ:ย|ล|ด:์|	f:j|e:l|d|
เ:ฮ|ก|เ:ล:อ|ร:์|	h|e:c:h|l:e|r|
แ:อ|ล|เ:ล|ิ:่:ม|	a|l|l|u:m|
ซ|ิ|เ:ซ|โ:ร|	c|i|c|e:r:o|
แ:บ|น|ด:์|ส|ั|น|	b|a:n|d|s|o|n|
ไ:อ|ร:์|แ|ล|น|ด:์|	i|r|e|l|a:n|d|
บ|อ|ย:เ:อ|อ:ร:์|	b|o|y|e:r|
ม|ั|น|เ:ด:ิ|ล|	m|u|n|d:e|l:l|
อ:ี|ย|ิ|ป|ต:์|	e|g|y|p|t|
ไ:ว|ส:์|เ|ม|ิ:่|น|	w:e:i|s|s|m|a|n:n|
บ|ั|น|น|ี:ย:์|	b|o|n|n|e:y|
เ:อ:ิ|น|ต:ี:้|	u|n|t:i|
ด|ี|ม|ั|น|ท|อ|ย:ต:์|	d|e|m|a|n|t|o|i:d|
ฟ|ิ|เ:ด|ล|	f|i|d|e:l|
ล|ิ|น|ฮ|า|ร:์|ด|	l|i|e:n|h|a|r|d|
แ:ค:บ|เ:บ:ิ|ต|	c:a|b:o|t|
แ:บ|ฟ|เ:ฟ:ิ|ล|	b|a:f|f|l:e|
โ:อ|ล:โ|ม|	o|l|m:o|
แ:ล|ส|ต:์|	l|a:s|t|
เ:ซ|เ|ว|ิ:ร:์|น|	s|e|v|e:r|n|
โ:ร|ส|เ:บ:อ|ร:ี:่|	r:o:s|e|b:e|r:y|
บ|ล|ั:ฟ|	b|l|u:f:f|
เ:อ|อ:ร|ั|ป|	a|r|u|p|
เ|ร|ย:์|น|ึ|ส|	r|a|y|n|e|s|
พ|า|ร:์|ต|ิ|ซ|ั|น|	p|a|r|t|i|s|a|n|
บ|ิ|ก|เ:ค:อ|ร:์|ส|แ|ต|ฟ|	b|i|c|k:e|r|s|t|a|f:f|
อ|อ:ร:์|พ|ิ|เ:ม|น|ต:์|	o|r|p|i|m|e:n|t|
ไ:อ|ร|ิ|ส|	i|r|i|s|
อ:อ|เ:ค:ิ|ล|ล:ี:่|	o|k:e|l|l:y|
ล|า|เ:ล:ิ|น|ด:์|	l|a|l:a|n|d|
แ:ฮ|ส|ล|ิ:ต|ต:์|	h|a:s|l:e|t|t|
ฮ|อ|เ:น|อ|เ:ค:อ|ร:์|	h|o|n|a|k:e|r|
ไ:บ|ร|อ|ั|น|ส:์|	b|r|y|a|n|s|
เ:จ|ซ:ี|แ:อ:ล|	j|c|l|
ด|อ|ง|	d|o|n:g|
แ:ล|โ|ต|ซ|อ|ล|	l|a|t:o|s|o|l|
อ:อ|ต|ต|ิ|เ:ง|อ:ร:์|	o|t|t|i|n:g:e|r|
ค|อ:ล:เ|ด:อ:ร|์:ฮ:อ|ล:ล:์|	c|a:l|d|e|r|
ฟ:า|ร:์|ม|า|ซ|ี|	p:h:a|r|m|a|c|y|
พ|อ|ล|ล|ิ|น|	p|o|l|l|i|n|
น|ั:ท|	n|u:t:s|
อ:า|โ|ฮ|	a|h|o|
เ:จ|อ:ร:์|น|ิ|แ:ก|น|	j|e:r|n|i|g|a:n|
ก|ร:ี|น|ส|แ|ป|น|,|	g|r:e:e|n|s|p|a|n|,|
เ:อ|ล|ส:์|	e|l:l|s|
ป:ี:เ|ต|อ:ร:์|ส|เ:บ:ิ|ร:์|ก|	p:e|t:e|r|s|b:e|r|g|
พ|า|ล|เ:ม:อ|ร:์|,|	p|a|l|m:e|r|,|
แ:ท|ช|เ:จ|ี|่:ย:น|	t|a:s:h|j|i|a:n|
แ:ล|โ|ท|ซ|อ|ล|ส:์|	l|a|t:o|s|o|l|s|
ฮ:ิ:ว|บ:์:เ|น|อ:ร:์|	h:u|e:b|n:e|r|
เ:ล:็|ด|เ:ฟ:ิ|ร:์|ด|	l:e|d|f:o|r|d|
เ:ก|ร|น|แ:ซ|น:ไ:ฮ|ไ:ด|ร|ท|์|	g|r|e:n|z:a:n|h:y|d|r:i|t|e|
เ|ก|ย:์|ล|อ|ร:์|ด|	g|a|y|l|o|r|d|
จ|า|โ:ค:เ|บ|ี:ย|น|	j|a|c:o|b|i|a:n|
อ:ั|ป|เ:ซ|ิ:่:น|	u|p|s|o:n|
ไ|ซ|ก:์|ส|	s|i|k|e:s|
ค|า|ฮ|า|เ:น:่|	k|a|h|a|n:e|
ฮ:ิ:ว|อ:ี:่|	h:u|i:e|
โ|ฮ|ส:เ|ต|ส|	h|o|s|t:e|s:s|
ด|ั|น|แ:ค|น|	d|u|n|c|a:n|
ท:ั:ล|เ|ล|ิ:่|น|ต:์|	t:a|l|l|a|n|t|
เ:ด|อ|เ:ก:อ|เ|ล|อ|ร:์|	d|a|g:u|i|l|a|r|
แ:ว|ร:์:ร|ี:่|	v:e:r|r|i|
น|อ|ร:์|ท|ฟ|ิ|ล|ด:์|	n|o|r|t:h|f|i:e|l|d|
บ|า|ร:์|บ|า|ร|อ|ส|ซ|า|	b|a|r|b|a|r|o|s|s|a|
ค:ู|ม:บ:์|	c:o:o|m:b|
ส|เ:ก|ล|	s|c:h:e|l:l|
ว|อ|ล|เ:ล:ิ|ต|	w|a|l|l:e|t|
อ:ี|ร|ี|ต:้:า|	i|r|i|t:a|
ค|า|ร:์|ร|ิ:ต|	c|a|r|r:e|t|
โ:อ|ว|ี|อ:อ|ต|	o|v|i|a|t:t|
ส:เ|ป|ี:ย|ร:์|	s|p:e|a|r|
ค|ล|ั|น|เ:ด:อ|ร:์|	k|l|u|n|d:e|r|
ก|ร|ี|๊:ฟ|ส:์|	g|r|e|e:v:e|s|
ท|ั|ก|เ:ก:อ|ร:์|,|	t|u|c|k:e|r|,|
โ|ค|ค|า|	c|o|c|a|
ส|ก|็:อ:ก|ก|ิ|น|ส:์|	s|c|o:g|g|i|n|s|
ค|ร|ิ|ป|ท|อ|น|	k|r|y|p|t|o|n|
ค:ี|เ:น:อ|ร:์|	k:e:e|n:e|r|
ด:ู|โ:ร|	d|u:r:o|
บ|ร:ี|ส|	b|r:e:e|s:e|
ล|อ|น|น|ี|่|	l|o|n|n|i|e|
ส:เ|ว|ล|ส:์|	s|w:a|l:e|s|
ส|ไ:ต|น:์|เ:ฮ|า|ส:์|	s|t:e:i|n|h|a:u|s|
แ:ซ:เ|ล|ิ:ป|	s:a|l:o|p|
ซ:ี|เ:อ:ฟ|เ:อ:ฟ|เ:อ|เ:อ:ส|	c|f|f|a|s|
โ:ท|น|	t:h:o|n:e|
น|ี|	k:n|e:e|
ไ:บ|อ|อ|ส|	b|i|o|s|
ม|อ|น:โ|ก|ล|ด:์|	m|o|n|g|o:l|d|
ไ:ฮ|เ:ด:ิ|้:น|	h:y:d|e|n|
จ|อ|ช|	j|o|s:h|
อ|อ|ก|ั|ส|ต:์|	a|u|g|u|s|t|
ไ:ว|ท|อ|ร:์|น|	w:h:i|t:e:h|o|r|n|
ไ:ด|แ:ซ|็:ก|ค|า|โ:ร|ส|	d|i:s:a|c|c:h|a|r:o:s|e|
ล|ิ|ช|ต:์|เ:บ|ล|า|	l|i|c:h|t|b|l|a:u|
เ:บ:็|ก:ก:์|	b:e|g:g|
เ:ฮ:เ|ม|ิ:น|	h:a|m:a|n|
ซ|ี|ร:ี:เ|ล|ิ|ส|	c|y|r:i|l:l|u|s|
ว:ิ|ล|	v:e:a|l|
