ה|ו|ל|מ|ז|	h|o|l|m:e|s|
ס|ט|י|ף|	s|t|i|f|
ה|י|ט|פ|י|ל|ד|	h|e|t|f|i|e:l|d|
א|ב|ר|ה|א|ר|ד|	e|b|e:r|h|a|r|d|
מ|ר|י|ם|	m:e|r|i:e|m|
ט|ו|ק|א|נ|ט|י|נ|ז|	t|o|c|a|n|t|i|n|s|
ל:ו|	l:i:u|
ו|א|צ|ל|א|ב|	v|a|c|l|a|v|
ט|י|ל|י|מ|א|ן|	t|e|l|e|m|a|n:n|
פ|א|ר|ק|	p|a|r|k|
מ|א|ק|ס|י|ם|	m|a|k|s|i|m|
ד|ל|ב:י|ק|י|ו|	d:e|l|v:e:c|c:h|i|o|
פ|א|ס|ד|א|ר|	p|a|s|d|a|r|
ה|א|נ|ק|	h|a|n|k|
פ|א|ר|ק|	p|a|r|c|
ר|א|ד|ו|ס|י|ו|	r|a|d|u|c|i|o:i:u|
ס|י|ד|	s|i|d|
א|ל|ן|	e|l:l:e|n|
ט|ר|א|ב|י|א|ן|	t|r|a|v|i|a|n|
ב|ו|ר|ג|י|ט|י|	b|o|r|g|e|t:t|i|
ג|ר|ו|ב|ר|	g|r|o|v:e|r|
נ|א|נ|ס|י|	n|a|n|c|y|
א|ל|א|ן|	a|l:l|a|n|
ב|נ|י|ט|י|	b:e|n|e|t:t|i|
ל|י|ל|ה|א|מ|ר|	l|i|l:l:e|h|a|m:m:e|r|
ט|א|ר|י|ן|	t|a|r|i|n|
ב|א|ק|א|ר|ד|י|	b|a|c|a|r|d|i|
ש|ק|א|ק|י|	s:h:a|q|a|q|i|
א|נ|ג|ק|ו|ר|	a|n|g|k|o|r|
ד|ו|מ|י|נ|י|ק|א|	d|o|m|i|n|i|c|a|
נ|י|ר|י|ר|י|	n|y|e:r|e|r|e|
ר|י|ל|מ|י|	r|e|l|m|y|
ס|א|ב|ו|ר|י|ו|	s|a|b|o|r|i|o|
ה|א|נ:י|ב|א|ל|	h|a|n:n:i|b|a|l|
ב|א|ס|ט|י|א|ן|	b|a|s|t|i|a|n|
ב|ר|ה|ו|ם|	b:a|r|h|o|m|
ס|א|ל|ו|מ|א|	s|a|l|o|m:a|a|
א:ו|ה|א|ר|א|	o|h|a|r|a|
ק|א|ט|ז|ר|	k|a|t|z|e:r|
ב:ו|ל|	b:o:u|l:l:e|
ה|א|נ|ז|ו|	h|a|n|z|o|
א|נ|י|	a|n|i|
י|א|פ|י|נ|ג|	y|a|p|i|n|g|
ק|ו|ל|פ|א:ק:ס|	c|o|l|f:a|x|
ט|י|ג|א|נ|א|	t|i|g|a|n|a|
פ|ל|ו|ר|י|ן|	f|l|o|r|i|n|
ק|א|ס|י|ן|	c|a|s:s|i|n|
ק|ר|י|ס|ט|ו|ב|	c:h|r|i|s|t|o|v|
ג|ו|מ|א|ס|	g|o:u|m|a|s|
א|ל|ב|א|י:א|ט|י|	a|l|b|a|y:y:a|t|i|
ג:':א|מ|ל|	j:a|m:e|l|
ל|א|ג|ו|ס|	l|a|g|o|s|
ב|ר|י:ט:ש|י|ט|	b|r|e:c|h:e|t|
ט|י|ו|פ|י|ל|ו|	t|e|o|f|i|l|o|
ש|י|ב|א|	s:h|e|b|a|
ב:י:י|ק|ר|	b:a|k|e:r|
ב|י|ז|נ|ט|	b|e|s|a:n|t|
ט|ר|י|ף|	t|a:r|i|f|
ר|י|	r|h:e:e|
ב|י|א|ט|ר|י|ס|	b|e|a|t|r|i|c:e|
מ|ו|ל|נ|א|ר|	m|o|l|n|a|r|
פ|ו|כ|נ|ר|	p|u|c:h|n|e:r|
י|ו|ש:י|נ|ו|	y|o|s:h:i|n|o|
ר|י|ה|	r|i|e|
ג|א|ס|ק|ו|נ|י|	g|a|s|c|o|n|y|
ד|ו|ם|	d|o|m|
מ|ה|ד|י|	m:e|h|d|i|
מ|א|ר|י|נ|י|ט|י|	m|a|r|i|n|e|t:t|i|
ק|א|נ|ט|	k|a|n|t|
א:י|ל|ה|א|ם|	i|l|h|a|m|
ת|א|ל|י|א|	t:h|a|l|i|a|
ר|ג:':א|	r:a|j:a|
ג|ר|י|ג|ו|ר|י|	g|r|e|g|o|r|y|
ז|י|ק|ל|ו|ן|	z|y|k|l|o|n|
ה|א|ר:י|	h|a|r:r:y|
ל|ו|	l:e|w|
פ|ג|י|	p:e|g:g|y|
ג|ו|נ|ג|	g|o|n|g|
פ|י|ד|י|ר|י|ק|ו|	f|e|d|e|r|i|c|o|
ק|י|ט|	k|i|t|
ס|ע|ד|	s:a|a|d|
מ|א|ד|ה|י|א|	m|a|d|h|y|a|
ו|י|י|ן|	w|a|y|n:e|
מ|ו|ט|י|	m|u|t|i|
ד|ו|ב|ס|ו|ן|	d|o|b|s|o|n|
פ|ו|ל|	p|o|l|
פ|ל|י|ס|	p|l|e|s:s|
נ|א|ט|א|ש|א|	n|a|t|a|s:h|a|
ו|א:י|ל|ז|	w|i|l|e:s|
ר|ו|י:ט|ר|	r:e|u|t|e:r|
מ|א|ב|ר|ו|ס|	m|a|v|r|o|s|
פ|א|ט|א|ג|ו|נ|י|א|	p|a|t|a|g|o|n|i|a|
נ|א|ש|	n|a|s:h|
א|ל|ד|ד|	e|l|d:a|d|
ז|א|נ|ג|	z|a|n|g|
מ|ו|ר|א|י|א|מ|א|	m|u|r|a|y|a|m|a|
מ|י|ס|כ|י|	m|e|s|k:h|i|
ל|ו|ה|א|נ|ס|ק|	l|u|h|a|n|s|k|
ג|א|ר|ד|	g|a|r|d|
ק|א|ר|ל|ו|	c|a|r|l|o|
ג|א|י|ט|א|נ|ו|	g|a|e|t|a|n|o|
ק|א|ר|נ|י|	c|a|r|n:e|y|
ב|א|ר|א|כ|א|	b|a|r|a|j|a|
מ|א|ד|ר|ו|צ:ו|	m|a|d|r|u|z:z:o|
ה|ו|ב|א|ר|ט|	h|o|b|a|r|t|
ע:א|ו|ן|	a|o:u|n|
פ|ו|ר|ט|ו|ג|ס|י|	p|o|r|t|o|g:h:e|s|i|
ק|י|ר|ו|ז|	q:u:e|i|r|o|z|
מ|א|ט|ו|	m|a|t|o|
פ|ר|ג:'|	f:a|r:a|j|
ט|ו|ס|ו|	t|u|s:s|e:a:u|
ג|ו|א|ד|ל|ו|פ|	g|u|a|d:e|l|o:u|p:e|
ח|ו|מ|י|ד|א|ן|	h|o|m:a|i|d|a|n|
ס:י|ס|ל|א|	c:i:e|s|l|a|
צ:'|ר:י|	c:h:e|r:r:y|
ל|י|ב|נ|ת|	l|i|v|n|a:t|
ל|א|נ|ס|	l|a|n|c:e|
ו|א|ק|ס|מ|א|ן|	w|a|c:h|s|m|a|n|
ש|ד|י|ד|	c:h:e|d|i|d|
נ|א|נ|ס|ן|	n|a|n|s|e:n|
ט:י|ג|י|ל|ס|	t:e:u|g|e|l|s|
ס|ק|ו|ל|י|	s|c|u|l:l|i|
ס:פ|ר|י|	s:a:f|r|i|
מ|י|מ|י|ר|נ:ג|	m|e|m|e|r|i:n:g|
ל|א|ב|ר|	l|a|v:e|r|
י|ו|ה|נ:א|	j|o|h:a|n:n:a|
ס|י|ס|ט|ו|	s|i|s|t|o|
ז|נ|ז|י|ב|א|ר|	z:a|n|z|i|b|a|r|
ג:י:י|ט|ס|	g:a|t:e|s|
ל|א|ו|ר|ס|ן|	l|a|u|r|s|e:n|
ב|ו|ל|ז|א|נ|ו|	b|o|l|z|a|n|o|
ג:':א|ק|ו|ב|	j:a|k|u|b|
מ|ז|ל|ו|ם|	m:a|z|l|o:u|m|
ד|ז|ו|ד|ז|ו|א|ש:ב|י|ל|י|	d|z|o|d|z|u|a|s:h:v|i|l|i|
א:י|ד|ו|	e|d|o|
ה|ר|ב|ן|	h:e|r|b:i|n|
ז|א|נ|ג|ו|י|ל|	z|a|n|g|w|i|l:l|
ס|ט|ו|ר|א|ר|י|	s|t|o|r|a|r|i|
א|ל|א:י|ג:'|ה|	e|l|i|j|a:h|
ק|י|ל|ד|	k|j:e|l|d|
פ|י|ר|ס|ו|ן|	p|e|a:r|s|o|n|
פ|י|ל|י|ק:ס|	f|e|l|i|x|
ק|ו|ק|ו|ש|ק|א|	k|o|k|o|s:c:h|k|a|
צ:':א|מ|א|נ|ג|א|	c:h|a:m|a|n|g|a|
ר|ג:':א|ב|י|	r:a|j:a|v|i|
ק|ל|י|מ|י|נ|ס|	c|l|e|m|e|n|c:e|
פ|א|ס|ק|א|ל|	p|a|s|c|a|l:e|
ל|י|ב|י|ד|	l|e|b|e|d|
נ:ח|מ|ן|	n:a:h|m:a|n|
ע:ו|ס|מ|א|ן|	o|u:s|m|a|n:e|
ט|ס|כ|י|נ|ב|א|ל|י|	t|s|k:h|i|n|v|a|l|i|
מ|א|ר|י|ק|	m|a|r|e|k|
נ|א|ר|מ|ר|	n|a|r|m:e|r|
ד|י|מ|א|	d|i|m|a|
מ|י|ל|ו|ר|א|	m|e|l|o|r|a|
ל|ג|ו|נ|ה|	l:a|g|u|n|a|
פ|ו|ר|פ|י|ר|י|א|	p|o|r|p:h|y|r|i|a|
ב|ר|א|ק:ס|ט|ו|ן|	b|r|a|x|t|o|n|
ג:'|א|ס|י|נ|ט|ו|	g|i:a|c|i|n|t|o|
י|ו|ק|ו|ה|א|מ|א|	y|o|k|o|h|a|m|a|
ס:א:י|פ|ר|ו|ס|	c:y|p|r|u|s|
נ|ח|ל|	n:a|h:a|l|
פ|ר|י|ד|	f|r|e|d|
ק|ו|נ|ד|ר|א|ט|י|י|ב|	k|o|n|d|r|a|t|i|e|v|
ה:ו|ל|	h:a:l|l|
ז|א|ל|א|י|י|ט|א|	z|a|l|a|y|e|t|a|
מ|ו|ח|מ|ד|	m|u|h:a|m:e|d|
ס|י|א|ג|ר|י|ו|ס|	s|y|a|g|r|i|u|s|
פ|א|ז|ר|ו|ל|	f|a|z|r|u|l|
א|ל|ג|י|ט|א|נ|י|	e|l|g:h|i|t|a|n|i|
ז|ק|א|ר|ד|ו|	z:a:c|c|a|r|d|o|
י|א|ר|	y|a|r|
ד|מ|י|ד|ו|ב|	d:e|m|i|d|o|v|
ס|ו|ג|י|י|א|מ|א|	s|u|g|i|y|a|m|a|
ס|מ|א|ש|נ|ו|ב|א|	s|m|a|s:h|n|o|v|a|
פ|ו|ר|ט|א|ס|	p|o|r|t|a|s|
ק|ו|ל|	k|u|l|
ט|א|ר|ד|י|ל|י|	t|a|r|d|e|l:l|i|
ג:י|מ|א|ר|	g:u:i|m|a|r:d|
ס|ק|א|ר|פ|א|	s|c|a|r|p|a|
פ|י|נ|י|ד|י|	f|i|n|i|d|i|
ק|א|נ|ו|ב|א|	c|a|n|o|v|a|
ט|א|ו|ט|	t|a|u|t|
א:י|ל|י|נ|ו|י|	i|l:l|i|n|o|i:s|
ס|א|ל|א|נ|ד|ר|א|	s|a|l|a|n|d|r|a|
ק:י:י|ב|	c:a|v:e|
א|נ|ד|ר|ז|	a|n|d|e:r|s|
פ|א|ס|ט|א|ן|	p|a|s|t|a|n|
ב|א|ס|י|נ|ג|ר|	b|a|s|i|n|g|e:r|
ג|י|ז|י|נ|ג|א|	g|i|z|e|n|g|a|
א:י|ז|מ|י|ר|	i|z|m|i|r|
ל|א|ק:ס|נ|ס|	l|a|x|n:e|s:s|
ד|י|א|ב|	d|i|a|b|
ר|א|ק|ו|ס|י|	r|a|k|o|s|i|
ג:'|ב|ל|	j|a:b|a:l|
ב|ק|ר|	b:e|c:k|e:r|
ע:א|ד|ל|	a|d:e|l|
ק:ט|ר|	q:a:t|a:r|
ל|ו|ה|ר|	l|o|h|r|
ג:'|ל|ו|ל|	d:j:e|l:l|o:u|l|
ש|א|ר|מ|א|	s:h|a|r|m|a|
ו|א|ר|ט|	v|a|a:r|t|
נ|א|נ:י|נ|ג|א|	n|a|n:n:i|n|g|a|
נ|ט|פ:י|ם|	n:e|t|a:f:i|m|
ש:י|ל|ד|	s:h:i|e:l|d|
ה|י|נ|ט|ר|מ|א|י|ר|	h|i|n|t|e:r|m|a|i|e:r|
א:י|ר|י|ן|	i|r|e|n:e|
מ|א|מ|י|	m|a|m|i|
ה|ל|י|ב|	h|l|e|b|
כ:פ|ר|	k:f:a|r|
ט|ו|ש:י|נ|ו|	t|u|s:h:i|n|o|
א|נ|ד|ר|ו|נ|י|ק|ו|ס|	a|n|d|r|o|n|i|c|u|s|
מ|א|ל|ב|ר|א|נ|ק|	m|a|l|b|r|a|n|q:u:e|
פ|ר|נ:ס|ו:א|	f|r|a:n:c|o:i:s|
ז|י|נ|ו|	z|e|n|o|
פ|ו|ר|ס|ט|ר|	f|o|r:r:e|s|t|e:r|
ק|ר|י|ס|ט|ו|ף|	c:h|r|i|s|t|o|p:h:e|
מ|א|ר|י|ק|	m|a|r|i|c|
ב|ו|ר|נ|י|ו|	b|o|r|n|e|o|
ש|י|ר|א|ק|	c:h|i|r|a|c|
ט|ו|מ|ר|	t|u|m:e|r|
מ|א|ג|נ|ו|	m|a|g|n|o|
ס|י|ר|א|ו|	s|e|r|a|o|
מ|א|ט|י|ל|ד|א|	m|a|t|i|l|d|a|
ס|ל|ב|א|ד|ו|ר|	s:a|l|v|a|d|o|r|
ד|א|ל|י|א|	d|a|l|i|a|
ג:':י|י:ק:ו|ב|ס|	j:a|c:o|b|s|
מ|א|ז|ו|י|ק|י|	m|a|z|o|w:i:e|c:k|i|
פ|א|נ|ד|ל|	f|a|n|d:e|l|
ה|י|א|ם|	h|i|a|m|
י|ו|פ|	j|u|p:p|
פ|ל|ו|ר|נ|ט|י|נ|ו|	f|l|o|r:e|n|t|i|n|o|
ט|א|ה|י|ר|	t|a|h|i|r|
מ|ו|ר|	m|o|r:e|
ל|ו|ם|	l|o|m:e|
פ|א:י|ו|ל|	f:a|y|o|l|
ה|א|נ|י|	h|a|n|y|
ב|י|י|ד|א|ס|	b|e|i|d|a|s|
ב|י|ס|א|ו|	b|i|s:s|a|u|
מ|א|ט|י|ו:ב|ס|ק|י|	m|a|t|e|j:o:v|s|k|y|
פ|י|ט|	p|e|t:e|
ח|ו|א|נ|א|	j|u|a|n|a|
ק|א|ט|י|	c|a|t|e|
פ|א|ט|א|י|א|	p|a|t:t|a|y|a|
ק|א|ר:א|ג|ר|	c|a|r:r:a|g:h|e:r|
ג:י:י|ט|ס|ה:י|ד|	g:a|t:e|s|h:e:a|d|
ה|א|נ|י|	h|a|n|i|
ק|ל|י|ו|פ|א|ט|ר|א|	c|l|e|o|p|a|t|r|a|
ג:':י|א|	j:i|a|
ב|ה|ט|א|ש|	b:e|h|t|a|s:h|
ה|י|ל|ג|	h|e|l|g:e|
ה|ר|מ|ו|ן|	h:e|r|m|o|n|
ר|ו|ז:ו|ו|ל|ט|	r|o|o:s:e|v:e|l|t|
ס|א|ו|ט|	s|a|w|t|
ג:'|ה|א|נ|ג|י|ר|	j|a:h|a|n|g|i|r|
פ|ו|ל|ס|ו|ן|	p|a:u|l|s|o|n|
ב|י|נ|י|ס|י|ו|	b|e|n|i|c|i|o|
ק|א|ר|מ|י|ל|ו|	c|a|r|m|e|l|o|
מ|ו|נ|ט|י|ב|י|ד|י|ו|	m|o|n|t|e|v|i|d|e|o|
ו|א|נ|ק|ו|ב|ר|	v|a|n|c|o:u|v:e|r|
ג|א|ר|ב|ו|ט|	g|a|r|b|u|t:t|
ג:':ו|ל|	j:o|l|
י|ו|נ|ל|ו|נ|ג|	y|u|n|l|o|n|g|
ו:ר|ו|נ|י|ק|א|ז|	v:e:r|o|n|i|c|a|s|
ס|ו:ב|א|ג|'|	s|a:u:v|a|g|e|
ב|ד|ו|א|ן|	b:i|d|o:u|a|n:e|
מ:ח|ר|ו|ס|	m:a:h|r|o:u|s|
ב|נ|י|מ|י|ן|	b:i|n|y:a|m|i|n|
ק|א|מ|פ|ו|ש|	k|a|m|p|u|s:c:h|
ה|ו|ר|י|	h|o|r|i|
ט|א|ט|ס|ו|ק|י|צ:'|י|	t|a|t|s|u|k|i|c|h:i|
ה|י|ד|י|א|ק|י|	h|i|d|e|a|k|i|
ב|ק|	b:e|k|
ט|ו|פ|י|ק|	t|o:u|f|i|c|
א|ל|ש|א|פ|ע:י|	e|l|s:h|a|f:e|i|
ק|א|ק|ו|נ|ג:':י|	k|a|k|o|n|j:e|
