এ	a
আঃহান্নান	ahannan
আহেমাবিবি	ahemabibi
অহীন্দ্র	ahindra
অলিউল্লাহ	ahiulla
আহন্মদ	ahmad
আহমাদগড়	ahmadgarh
আহমাদনগর	ahmadnagar
আহমাদপুর	ahmadpur
আহমেদ	ahmed
আহমেদবাদ	ahmedabad
আহমেদনগর	ahmednagar
অহোবিলাম	ahobilam
আইভি	aibhi
অ্যাড	aid
আইকওা	aikya
আইনাল	ainal
ঐন্দ্রিলা	aindrala
আইনুল	ainul
আইনুলহক	ainulhak
এয়ার	air
এয়ারকন	aircon
এয়ার	aire
এয়ার্স	aires
এয়ারলাইনস	airlines
এয়ারম্যানস	airmans
এয়ারওয়েজ	airways
আইসবাগ	aishbagh
আইত	ait
আইতহাল	aithal
আজাদ	ajaad
আজাদআলি	ajadali
আজাদহোসেন	ajadhosen
আজাহারআলি	ajaharali
অজন্তা	ajanta
অজনতি	ajanti
আজরাকা	ajaraka
অ্যাজাক্স	ajax
অজয়	ajay
আজেদ	ajed
অজহাই	ajhai
আজিদ	ajid
আজিফা	ajifa
আজিজ	ajij
আজিজা	ajija
আজিজুলহক	ajijulhak
আজিম	ajim
আজিমা	ajima
আজিমাবেগম	ajimabegam
আজিমুদ্দিন	ajimuddin
আজির	ajir
অজিত	ajit
অজিতেশ	ajitesh
অজিতকুমার	ajitkumar
আজমা	ajma
আজমাবিবি	ajmabibi
আজমল	ajmal
অজমানি	ajmani
আজমত	ajmat
আজমতআলি	ajmatali
আজমতুল্লা	ajmatulla
আজমির	ajmer
আজমিরা	ajmira
আজমীরাবেগম	ajmirabegam
আজমীরাবিবি	ajmirabibi
আজমুদ্দিন	ajmuddin
আজমুল্লা	ajmulla
অজযচন্দ্র	ajoychandra
আজুল	ajul
আজুস্কো	ajusco
একাডেমি	akademi
একাডেমিন্স	akademins
অ্যাকাগি	akagi
আকালাঙ্কা	akalanka
অকালগাদিয়া	akalgadiya
অকালকট	akalkot
অকালতারা	akaltara
আকাশী	akashi
আকবর	akbar
আকবরআলি	akbarali
আকবরগঞ্জ	akbarganj
আকবরীখাতুন	akbarikhatun
আকবরপুর	akbarpur
অক্ষযকুমার	akhaykumar
আকবার	akhbar
আখেরআলি	akherali
অখিল	akhil
অখিলবন্ধু	akhilbandhu
অখিলেশ	akhilesh
অখিলেশ্বর	akhileswar
অখিলকুমার	akhilkumar
অখিলরঞ্জন	akhilranjan
আখতার	akhtar
আখতারআলি	akhtarali
আখতারি	akhtari
আকি	aki
অ্যাকিরা	akira
আকিতসু	akitsu
আকলিবিবি	aklibibi
আকলিমা	aklima
আকমাল	akmal
আকোদা	akodia
আকোলা	akola
আকোলনার	akolner
আকোরা	akora
অকোসোমবো	akosombo
অকোট	akot
আক্রাম	akram
আক্রামআলি	akramali
আকরন	akron
আকরুমাবিবি	akrumabibi
অক্রুর	akrur
আকসানা	aksana
আক্স	aksh
আকতার	aktar
আক্তারআলম	aktaralam
আকতারি	aktari
আকতারিবেগম	aktaribegam
অ্যাকতিয়েনজেসেলসচ্যাফট	aktiengesellschaft
অ্যাকতিয়েসেলসকবেট	aktieselskabet
আকুরদি	akurdi
আকুটাগাওয়া	akutagawa
একজো	akzo
আল	al
আলাবামা	alabama
অলকেশ	alakesh
আলাল	alal
আলাম	alam
আলমচাঁদ	alamchand
আলমো	alamo
আলমপুর	alampur
আলাসটির	alastair
আলাউদ্দিন	alauddin
আলাঊদ্দিন	alazuddin
আলবেনী	albany
অ্যালবাট্রোস	albatross
আলবার্ট	albert
আলবের্টা	alberta
আলবিন	albie
আল্বোরান	alboran
আলবুকার্ক	albukerk
অলবুরি	albury
অ্যালকাটেল	alcatel
অ্যালকোয়া	alcoa
আল্ড্রেম্যান	alderman
অ্যাল্ডাস	aldous
আলেক	alec
অ্যালেগ্রিয়াস	alegrias
আলের	aler
আলেস্টার	alester
আলেক্স	alex
আলেক্সজান্ডার	alexander
আলেকজান্ডার	alexandre
আলেক্সজান্দ্রিয়া	alexandria
অ্যালফ্রেড	alfred
আলগেরিয়া	algeria
আলজাইয়ারস	algiers
আলহক	alhak
আলি	ali
আলিআকবর	aliakbar
আলিবাগ	alibaug
আলিবদ্দিন	alibddin
অ্যালিক্যান্ট	alicante
অ্যালাইস	alice
আলিফ	alif
আলিগড়	aligarh
আলিহুসেন	alihusen
আলিজান	alijan
আলিম	alim
আলিমদ্দিন	alimaddin
আলিপুর	alipur
আলিরাজা	aliraja
অলিওয়াল	aliwal
অ্যালকালি	alkali
অল	all
আলেন	allan
আল্লান	allan
আল্লারাখা	allarakha
আল্লাউদ্দিন	allauddin
অ্যালেমান্ডে	allemande
এলেন	allen
অ্যালেনডেল	allendale
আলেপি	allepi
এলিপ্পি	alleppey
অ্যালিয়েন্স	alliance
অ্যালিইয়েনজ	allianz
আলোট	allott
অ্যালয়েজ	alloys
অলস্টেট	allstate
আলমা	alma
অলমানজি	almanij
আলমারা	almara
আলমাট্টি	almatti
আলমোড়া	almoda
অলনিয়া	alniya
আলো	alo
আলোআরাখ	aloarakh
আলক	alok
অলকা	aloka
অলকানন্দা	alokananda
অলককান্তি	alokkanti
অলোকনাথ	aloknath
অলোকরঞ্জন	alokranjan
আলোমগীর	alomgir
আলোরানী	alorani
আলোউদপুরি	aloudpuri
আলপনা	alpana
আল্পনারানী	alpanarani
আল্পেশ	alpesh
আলপিন	alpine
অলস্টোম	alstom
আলতাই	altai
অলটেয়ার	altair
অল্টারনেট	alternate
অলট্রিয়া	altria
আলুয়াবারী	aluabari
অ্যালুমিনিয়াম	aluminiu
অ্যালমুনিয়াম	aluminium
অলভরিয়ন	alvarion
অলওয়েই	alwaye
অলুইস	alwis
অলওয়ার্ক	alwork
আমাদিও	amadeo
এমাডোর	amador
আমাল	amal
অমলা	amala
অমলচন্দ্র	amalchandra
অমলেন্দু	amalendu
অমলকান্তি	amalkanti
অমলকুমার	amalkumar
অমলসেদ	amalsad
অমন	aman
আমান্ডা	amanda
আমানউল্লা	amanulla
আমানুর	amanur
অমর	amar
অমরা	amara
অমরাবতী	amarabati
অমরচাঁদ	amarchand
অমরদীপ	amardip
অমরেন্দু	amarendu
অমরেশ	amaresh
অমরেশ্বর	amareshwar
অমরজিত	amarjit
অমরকৃষ্ণ	amarkrishna
অমরনাথ	amarnath
অমরপুরা	amarpura
অমরশংকর	amarshankar
অমর্ত্য	amartya
অময়	amay
অ্যামেজিং	amazing
আমাজন	amazon
আমাজোনিয়া	amazonia
অম্বাবতী	ambabati
আমবালা	ambala
আমবালাপুজহা	ambalapuzha
অম্বর	ambar
আম্বারদেকার	ambardekar
আমবারী	ambari
অম্বরীশ	ambarish
আমবাসামুদ্রম	ambasamudram
অ্যাম্বাসেডর	ambassador
আমবাতুরাই	ambaturai
আম্বেকার	ambekar
অম্বিকা	ambika
আম্বিযাখাতুন	ambiyakhatun
অমব্লিয়াসন	ambliyasan
অ্যাম্বোসেলি	amboseli
অম্বরিশ	ambrish
অম্বুজ	ambuj
অম্বুজা	ambuja
আমবুর	ambur
আমকোর	amcor
আম্বেদকর	amdekar
আমেদ	amed
এমেনিটিস	amenities
আমেরডা	amerada
আমেরিকা	america
আমেরিকান	america
আমেরিকান	american
অ্যামিরিসিয়াম	americium
আমেরিসোর্সবার্গেন	amerisourcebergen
আমগাঁও	amgaon
আর্ণহাস্ট	amherst
আমীন	amin
আমিনাখাতুন	aminakhatun
আমিনআলি	aminali
আমিনুল	aminul
আমির	amir
আমিরআলি	amirali
আমীরহামজা	amirhamja
আমিরহোসেন	amirhosen
আমিরুলহক	amirulhak
আমিরুল্লা	amirulla
আমিস	amiss
অমিত	amit
অমিতা	amita
অমিতাভ	amitabh
অমিতাভ	amitabha
অমিতারাণী	amitarani
অমিতেশ	amitesh
অমিতরঞ্জন	amitranjan
অমিউ	amiu
অমিযরঞ্জন	amiyaranjan
আমজাদ	amjad
আমলাখুদ	amlakhurd
অমলি	amli
অম্মাসানদ্রা	ammasandra
আমিরাগলিও	ammiraglio
আমোদিনী	amodini
অমরাবতি	amravati
আম্রে	amre
আম্রেলি	amreli
অমৃত	amrita
অমৃতসর	amritsar
অমৃতভেল	amritvel
অমৃত	amritye
অমরোহা	amroha
আর্মস্টারডাম	amsterdam
অ্যামটেক	amtek
আমুল	amul
আমুর	amur
অ্যামি	amy
আমজাদ	amzad
আনন্দবালা	anadabala
আনোদোলুহিসর	anadoluhisar
আনাদির	anadyr
আনাইকুট্টাম	anaikuttam
অনল	anal
আনামত	anamat
আনন্দ	anand
আনন্দগোপাল	anandagopal
আনন্দলাল	anandalal
আনন্দী	anandi
আনন্দপুর	anandpur
অনন্তদেব	anantadebi
অনন্তকুমার	anantakumar
অনন্তলাল	anantlal
আনাপাটি	anaparti
আনারআলি	anarali
আনারজান	anarjan
আনারকলী	anarkali
আনারুল	anarul
অনাথ	anath
অনাথনাথ	anathnath
অ্যানাটমি	anatomy
অন্বিকা	anbika
আনকোনা	ancona
অ্যান্ড	and
আন্দামান	andaman
অন্ডেরসন	andersen
আন্দারসন	anderson
অন্ধ্রা	andhra
অ্যানদ্রিয়া	andrea
আন্ডরিও	andrew
আন্ড্রে	andrew
অ্যান্ড্রুস	andrews
আনড্রোস	andros
অন্ডি	andy
আন্ডি	andy
আনেসাবেগম	anesabegam
অঙ্গদ	angad
অঙ্গমালি	angamali
অনঙ্গমোহন	angamohan
আঙ্গরাবিবি	angarabibi
আঙ্গলে	angel
অ্যাঞ্জেলস	angeles
অ্যানগিয়োটেক	angiotech
আংলং	anglang
আঙ্গলিয়া	anglia
অ্যাংলো	anglo
আঙ্গুরবিবি	angurbibi
আঙ্গুস	angus
আনহারাবিবি	anharbibi
অনি	ani
আনিয়ারাপ্রিসেট	aniarapriset
আনিবালা	anibala
অনিকেত	aniket
অনিল	anil
অনিলা	anila
অনিলবরণ	anilbaran
অনিলকৃষ্ণ	anilkrishna
অনীলকুমার	anilkumar
অনিলরঞ্জন	anilranjan
অনিমা	anima
অনিমারাণী	animarani
অ্যানিমেশন	animation
অনিন্দীতা	anindita
অনিন্দ	anindya
অনির্বান	anirban
অনিরুদ্ধ	aniruddha
অনিরূদ্ধ	anirudha
আনিসাখাতুন	anisakhatun
অনিশ	anish
আনিশা	anisha
আনিশাবেগম	anishabegam
আনিসুর	anisur
অনিতা	anita
অনিতারাণী	anitarani
অঞ্জলি	anjali
অঞ্জলীদেবী	anjalidevi
অঞ্জলীরানী	anjalirani
অঞ্জনকুমার	anjankumar
আনজার	anjar
আনজি	anjhi
অঞ্জুবালা	anjubala
আনজুবিবি	anjubibi
অঞ্জুদেবী	anjudebi
অঞ্জুমানবিবি	anjumanbibi
অঞ্জুমআরা	anjumara
আনজুনারা	anjunara
আঞ্জুরা	anjura
অঞ্জুরানী	anjurani
অঞ্জুশ্রী	anjushree
অঙ্কন	ankan
আঙ্কারা	ankara
আঁখি	ankhi
অঙ্কিত	ankit
আঙ্কেলেশ্বর	ankleshwar
আনকোল	ankola
অঙ্কুর	ankur
অঙ্কুশ	ankush
অ্যান	ann
অ্যান	anna
অন্নবালা	annabala
আন্নেহার	annahar
অন্নপূর্ণা	annapurna
আন্নাভারম	annavaram
এন্নে	anne
আন্নেস	annes
অ্যানাও	anou
আনোযারাখাতুন	anoyarakhatun
আনসারা	ansara
আনসারুলহক	ansarulhak
অ্যানসেল	ansell
আন্সি	anshi
আনসোন	anson
অংশু	ansu
আনসুদ্দিন	ansuddin
আনসুরাবেগম	ansurabegam
অন্ত	antah
আন্টালিয়া	antalya
অন্তরা	antara
আর্ন্টাকটিকা	antarctica
আনথোনি	anthony
অ্যানথ্রোপলজি	anthropology
অ্যানটিয়েটাম	antietam
অন্তিম	antim
অ্যানিমনি	antimony
অ্যান্টিয়োচ	antioch
আন্তোনেত্তি	antoinette
অ্যান্টনি	antony
অন্ত্রীওয়ালে	antriwale
আনুবালা	anubal
অনুভা	anubha
অনুভারানী	anubharani
অনুজ	anuj
অনুমতি	anumati
অনুমিতা	anumita
অনুপম	anupam
অনুপগড়	anupgarh
অনুপকুমার	anupkumar
আনুর	anura
অনুরাধা	anuradha
অনুরাসিরি	anurasiri
অনুরুপা	anurupa
অনুশ্রী	anushri
অনুতোষ	anutosh
আনোয়ার	anwar
অন্বেষা	anwesha
আনজারা	anzara
আনজিরা	anzira
অ্যাওন	aon
আওনলা	aonla
আওপা	aopa
অওলাখ	aoulakh
আওরঙ্গজেব	aourangajeb
অ্যাপাচে	apache
অপলা	apala
অপরেশ	aparesh
অপর্ণারাণী	aparnarani
অপরূপা	aparupa
অ্যাপোলো	apollo
অ্যাপালাচিয়া	appalachia
অ্যাপেল	apple
অ্যাপিলিবি	applebee
এপ্লাইড	applied
অ্যাপলিং	appling
অপর্রা	apraa
অপ্সরা	apsara
অপ্সরী	apsari
আপটে	apte
অপূর্ব	apurba
অপুর্বকুমার	apurbakumar
অপূর্বলাল	apurbalal
অ্যাকুরিয়াম	aquarium
অ্যাকুইনো	aquino
অর	ar
আরা	ara
আরবি	arabi
আরাবিয়ান	arabian
অরবিন্দ	arabinda
আরাফুরা	arafura
আরাকোনি	arakoni
আরাল	aral
আরালভেমোজি	aralvaymozhi
আরারিয়া	araria
আরারীয়া	arariya
আরাসুর	arasur
আরতি	arati
আরতীবালা	aratibala
আরতিদেবী	aratidevi
আরতিরানি	aratirani
আরাভাল্লি	aravalli
আরাভানকাদু	aravankadu
আর্বন	arbon
আর্কডিস	arcadis
আর্চ	arch
অচর্না	archana
অর্চণা	archana
আরচিওলোজি	archeology
আর্কিপেলাগো	archipelago
অর্চিতা	archita
আরকোল্যাব	arcolab
অর্ধেন্দু	ardhendu
এরেনা	arena
আরনাক	arenac
আরিভা	areva
আরফাবিবি	arfabibi
আরফত	arfat
আর্জেন্টিনা	argentina
আর্জেন্টিনিয়ান	argentinian
আর্গোনিয়া	argonia
আরিয়াদনাহা	ariadnah
আরিফ	arif
অরিন্দম	arindam
অ্যারিস্টোফেন	aristophanes
অ্যারিস্টটল	aristotle
অরিত্র	aritra
আরিয়ালুর	ariyalur
আরজেনসর	arjansar
আরজেবানু	arjebanu
আরজিনা	arjina
অর্জুন	arjun
আর্ক	ark
অর্ক	arka
আরকানসাস	arkansas
অর্কেট	arket
এয়ারল্যান্ড	arlanda
আরলিঙ্গটন	arlington
আরমান	arman
আর্মন্ড	armand
আর্মেনিয়ান	armenian
আর্মস	arms
আর্মস্ট্রং	armstrong
অর্ণব	arnab
আর্নালা	arnala
আরনেথা	arnetha
আর্নহেম	arnhem
অন্নপূর্না	arnnapurna
আর্নল্ড	arnold
আরোরা	arora
আর্পড	arpad
অর্পন	arpan
অর্পিতা	arpita
আর্সেনিক	arsenic
অরশয়দ	arshad
আরসিকির	arsikere
আট	art
আর্ট	art
আর্থার	arthur
অরতীদেবী	artidebi
আরটিস্টিক	artistic
আর্ট	arts
অরুণ	arun
অরুন	arun
অরুন	aruna
অরুনাভ	arunabha
অরুণাচল	arunachal
অরুণাচলেশ্বর	arunachaleshwar
অরুণাদেবী	arunadevi
অরুনারানী	arunarani
অরুনাবালা	arunbala
অরুন্ধুতী	arundhuti
অরুনিমা	arunima
অরুনকান্তি	arunkanti
অরুনকৃষ্ণ	arunkrishan
অরুণকুমার	arunkumar
আরভি	arvi
অরবিন্দ	arvind
আরয়ানকাভ	aryankavu
আসাদ	asad
আসফপুর	asafpur
আশাহি	asahi
আসাম	asam
আসামা	asama
আসনগাঁও	asangaon
আঃসাত্তার	asattar
আসাউদ্দিন	asauddin
আসেদ	ased
আসেমা	asema
আসগর	asgar
আসগড়আলি	asgarali
আসগরি	asgari
আশা	asha
আশাবালা	ashabala
আশাদেবী	ashadebi
আশাকুমারী	ashakumari
আশান্থ	ashantha
আশাপূর্ণা	ashapurna
আশারাণী	asharani
আসবি	ashby
অ্যাশক্রফট	ashcroft
আস্ফক	ashfaq
অসীমা	ashima
আশিশ	ashish
আশিসকুমার	ashiskumar
আশমা	ashma
আশমাবিবি	ashmabibi
অশোক	ashok
অশোক	ashoka
অশোকারানী	ashokarani
আসরফি	ashrafi
আসরাফুল	ashraful
অষ্ট	ashta
আশতেকার	ashtekar
আশুরাবেগম	ashurabegam
অশ্ব	ashwa
আসওয়েল	ashwell
অশ্বিনী	ashwini
এশিয়া	asia
এসিয়ান	asian
আসিদাবিবি	asidabibi
অসীম	asim
আসিম	asim
অসীমারাণী	asimarani
অসিত	asit
অসিতাভ	asitabha
অসিতবরণ	asitbaran
অসিতকুমার	asitkumar
অসিতরঞ্জন	asitranjan
আসলানা	aslana
আসলাওদা	aslaoda
আসলিমা	aslima
আসমা	asma
আসমাবেগম	asmabegam
আসমহম্মদ	asmahamad
আসমানতারা	asmantara
আসমত	asmat
আসমাতারা	asmatara
ইসমাতারাবিবি	asmatarabibi
অস্মিতা	asmita
আসনোতি	asnoti
আশোক	asoka
অসম	asom
অসমিয়া	asomiya
অ্যাসপেরেন	asperen
অ্যাসপ্রেভা	aspreva
আসরাবিবি	asrabibi
আসরাফ	asraf
আশরফআলী	asrafali
আসরফিবিবি	asraphibibi
আসরাফুলহক	asraphulhak
আসাম	assam
আসামিস	assamese
অ্যাসিনিবয়নি	assiniboine
অ্যাসো	asso
অ্যাসোসিয়েশন	association
অ্যাসটেটিন	astatine
আস্টেল	astle
অষ্টকুমার	astokumar
আস্টোন	aston
অষ্টরাণী	astorani
অ্যাস্ট্রা	astra
অ্যাসট্রাজেনেকা	astrazeneca
অস্টুরিয়াস	asturias
আসুনসিওন	asuncion
অশ্বিণী	aswini
অ্যাট	at
এট	at
অতাবাকু	atabaque
আতাবদ্দিন	atabuddin
আটাকামা	atacama
অটলবিহারী	atalbihari
অটলকুমার	atalkumar
অতনুকুমার	atanukumar
আতরআলী	atarali
আটারা	atarra
অতসী	atasi
আটাটুর্ক	ataturk
আতাউদ্দিন	atauddin
আতাউল	ataul
অটেলি	ateli
আথাবাস্কা	athabasca
আথার	athar
আথয়াওয়ালে	athawale
আথেন্স	athens
আথারটন	atherton
আথে	athey
আথ্যেল্টিক্স	athletics
আটি	ati
অতীন	atin
অতীন্দ্র	atindra
অতীশ	atish
আটলান্টিক	atlantic
অ্যাটলাস	atlas
আটোম	atom
অটোনিমেন্ট	atonement
আটরামপুর	atrampur
আটাউলি	atrauli
আত্রে	atre
আট্রু	atru
অ্যাটাকার	attacker
আট্টাহ	attah
আট্টালা	attala
আট্রার	attar
আট্টাওয়ালা	attawal
আট্টিলা	attila
আট্টুর	attur
অতুল	atul
অতুলচন্দ্র	atulchandra
অতুলকৃষ্ণ	atulkrishna
অতুলকুমার	atulkumar
আবুচন	aubuchon
আবার্ন	auburn
আউচ্যান	auchan
অউক্রি	aucre
অউড	aud
অডিওকোডেস	audiocodes
আগাস্ত	augusta
আগাসিতাস	augustus
আউলিয়া	auliya
আনসুমান	aunshuman
আউরাইয়া	auraiya
অরবিন্দো	aurobindo
অরাম	aurum
অসটিন	austin
অস্ট্রাল	austral
আস্ট্রেলিয়া	australia
অস্ট্রেলিয়ান	australian
অস্ট্রিয়া	austria
অস্ট্রিয়ান	austrian
অস্ট্রো	austro
অটম	autom
অটোমোটিভ	automotive
ঔভেনস্বরম	auvaneswarem
ঔয়া	auwa
আউইত্তুক	auyuittuq
অভয়	avaya
অ্যাভ	ave
অ্যাভেন্টিস	aventis
এভিনিউ	avenue
অভেরফ	averoff
অ্যাভেস্থাজেন	avesthagen
অভিনন্দন	avinandan
আভিভ	aviv
অ্যাভিভা	aviva
আভিজ	aviz
এয়ার্ড	award
এওয়ার্ড	awards
এয়ার্ড	awards
অ্যাক্স	axa
অ্যাক্সকান	axcan
অ্যাক্সলে	axle
আয়াচিত	ayachit
আযেশাবেগম	ayashabegam
আয়াতোলাহ	ayatollah
অযোধ্যা	ayodhya
আয়ুব	ayub
আযুবহোসেন	ayubhosen
আযুবরহমান	ayubrahaman
আইয়ার	ayyar
আজাদ	azad
আজাদপুর	azadpur
আজাম	azam
আজেম	azeem
আজমুল	azeemul
আজারউদ্দিন	azharuddin
আজিজুল	azijul
আজিজ	aziz
আজমাত	azmat
আজমীর	azmir
অজোভ	azov
আজটে	aztec
আজু	azu
ব্যাঙ্ক	b
বাল	baal
বলদে	baalde
বাবা	baba
বাবাই	babai
বাবাজী	babaji
বাবর	babar
বাবরআলি	babarali
বাব্বান	babban
বাবেল	babel
ব্যাবন্যান	babhnan
বাবি	babi
ববিতা	babita
বাবলা	babla
বাবলি	babli
বাবলী	babli
বাবলু	bablu
বাবরালি	babraali
বাব্রেলা	babrala
বাবু	babu
বাবুগড়	babugarh
বাবুই	babui
বাবুজান	babujan
বাবুজী	babuji
বাবুল	babul
বাবুলচন্দ্র	babulchandra
বাবুন	babun
বাবুনাথ	babunath
বাবুপেট	babupeth
বাবুর	babur
বাবুরালি	baburaali
বাবুরআলি	baburali
বাবুরাম	baburam
বাবুসিং	babusing
বাবুশ্বর	babuswar
বেবি	baby
বাকার্ডি	bacardi
বাচুস	bacchus
বাচালাল	bachalal
বাছন	bachan
বাচস্পতি	bachaspati
বাচ্চা	bachcha
বচ্চন	bachchan
বাচ্চি	bachchi
বাচ্চু	bachchu
বুচার	bacher
বাচি	bachi
বাছু	bachu
ব্যাকবোন	backbone
বাদাগারা	badagara
বাদাক্সি	badakhshi
বাদলবালা	badalbala
বাদলচন্দ্র	badalchandra
বাদলদাসী	badaldasi
বাদলকুমার	badalkumar
বাদলরানী	badalrani
বাদাম	badam
বাদামি	badami
বাদামপাহাড়	badampahar
বদন	badan
বদনবালা	badanbala
বদনচন্দ্র	badanchandra
বাদানি	badani
বদরআলী	badarali
বাদারপুর	badarpur
বাদাউসা	badausa
বাদাতী	badawi
বাদ্ধনি	baddhni
বদ্দিনাথ	baddinath
বাদ্দোওয়াল	baddowal
বড়ে	bade
বাদেল	badel
বাদশা	badesha
বাদি	badi
বদিলাল	badilal
বদিনাথ	badinath
বদিরুন	badirun
বাদলা	badla
বাদলি	badli
বাদনাপুর	badnapur
বাদনেরা	badnera
বদরুন	badrun
বাদরুন	badrun
বাদশা	badsha
বাদশাহনগর	badshahnagar
বাদশাহপুর	badshahpur
বাদুলি	baduli
বাদওয়াল	badwal
বাদওয়াসি	badwasi
বাদয়াল	badyal
বোয়ে	bae
বিয়ার	baer
বাফিন	baffin
বাহাগা	bagaha
বাঘালকোট	bagalkot
বাগাম্বর	bagambar
বাঘা	bagha
বাগহোরা	baghora
বাগ্লামা	baglama
বাগরাই	bagrai
বাগরি	bagri
বাগওালি	bagwali
বাহাদুরপুর	bahadurpur
বাহারা	bahara
বাহারআলি	baharaali
বাহিয়া	bahia
বাহিলপুরয়া	bahilpurwa
বাহজয়	bahjoi
বাহারাইচ	bahraich
বাহরেন	bahrain
বৈদনাথ	baidanath
বাইদুল	baidul
বৈদ্যনাথধাম	baidyanathdham
বৈজনাথ	baijanath
বৈজন্তী	baijanti
বাইজুল	baijul
বৈজুনাথ	baijunath
বৈকুণ্ঠ	baikuntha
বেলি	bailey
বৈঁচি	bainchi
বাইওন	baion
বৈরাগী	bairagi
বৈরাগনিয়া	bairagnia
ব্রিসটো	bairstow
বৈশাখি	baishakhi
বৈশাখী	baishakhi
বৈশালী	baishali
বাইসিয়া	baisya
বৈতালপুর	baitalpur
বৈতরণী	baitarani
বৈতুল	baitul
বাইওক	baiyoke
বাইজা	baiza
বাজা	baja
