ಅಮಾರೀ	a'marie
ಅಬ್ದುಲ್ ಕರೀಂ	abdul kareem
ಅಬ್ದುಲ್ ಖಾಲಿಕ್	abdul khaaliq
ಅಬ್ದುಲ್ ಖಬೀರ್	abdul khabeer
ಅಬ್ದುಲ್ ಮಾಲಿಕ್	abdul maalik
ಅಬ್ದುಲ್ ಮಜೀದ್	abdul majid
ಅಬ್ದುಲ್ ಮನ್ನಾನ್	abdul mannaan
ಅಬ್ದುಲ್ ಮತೀನ್	abdul mateen
ಅಬ್ದುಲ್ ಮತೀನ್	abdul matin
ಅಬ್ದುಲ್ ಮುಯೆದ್	abdul muaid
ಅಬ್ದುಲ್ ಮುಗಾನಿ	abdul mughanee
ಅಬ್ದುಲ್ ಮುಹಾಸಿನ್	abdul muhaasin
ಅಬ್ದುಲ್ಲ ಮುಹಾಯಮೀನ್	abdul muhaayameen
ಅಬ್ದುಲ್ ಮುಹಾಯಮೀನ್	abdul muhaayamin
ಅಬ್ದುಲ್ ಮುಹಾಯಿ	abdul muhaayi
ಅಬ್ದುಲ್ ಮುಹಾಯಮೀನ್	abdul muhaaymin
ಅಬ್ದುಲ್ ಮುಹಾಯಿ	abdul muhayi
ಅಬ್ದುಲ್ ಮುಯೀದ್	abdul muid
ಅಬ್ದುಲ್ ಮುಜೀಬ್	abdul mujeeb
ಅಬ್ದುಲ್ ಮುನೀಂ	abdul munim
ಅಬ್ದುಲ್ ಮುಕ್ಸೆತ್	abdul muqsit
ಅಬ್ದುಲ್ ಮುಸವ್ವಿರ್	abdul musawwir
ಅಬ್ದುಲ್ ಮುತಿ	abdul muti
ಅಬ್ದುಲ್ ಮುಜಾನ್ನಿ	abdul muzanni
ಅಬ್ದುಲ್ ಖಾದಿರ್	abdul qadeer
ಅಬ್ದುಲ್ ಕಹಾರ್	abdul qahhar
ಅಬ್ದುಲ್ ಕಯ್ಯೂಮ್	abdul qayyoom
ಅಬ್ದುಲ್ ರಹೀಂ	abdul raheem
ಅಬ್ದುಲ್ ರಹೀಂ	abdul rahim
ಅಬ್ದುಲ್ ತವ್ವಾಬ್	abdul tawwab
ಅಬ್ದುಲ್ ವಾಜಿದ್	abdul waajid
ಅಬ್ದುಲ್ ವದೂದ್	abdul wadud
ಅಬ್ದುಲ್ ವಹಾಬ್	abdul wahaab
ಅಬ್ದುಲ್ ವಹಾಬ್	abdul wahhab
ಅಬ್ದುಲ್ ವಹೀದ್	abdul wahid
ಅಬ್ದುಲ್ ವಜೀದ್	abdul wajeed
ಅಬ್ದುಲ್ ವಲೀ	abdul walee
ಅಬ್ದುಲ್ ವಲೀ	abdul waliy
ಅಬ್ದುಲ್ ವರೀತ್	abdul warith
ಅಬ್ದುಲ್ಲಾ	abdullah
ಅಬ್ದುಲ್ಹಾ	abdullah
ಅಬ್ದುರ್ ರಹಮಾನ್	abdur rahaman
ಅಬ್ದುರ್ ರವೂಫ್	abdur rauf
ಅಬ್ದುಸ್	abdus
ಅಬ್ದುಸ್ ಸಬೂರ್	abdus saboor
ಅಬ್ದುಸ್ ಸಬೂರ್	abdus sabur
ಅಬ್ದುಸ್ ಸಲಾಂ	abdus salaam
ಅಬ್ದುಸ್ ಸಮೀ	abdus sameei
ಅಬ್ದುಸ್ ಶಹೀದ್	abdus shaheed
ಅಬ್ದುಸ್ ಶಕೂರ್	abdus shakur
ಅಬೀರಾ	abeeraa
ಏಬೆಲ್ ಪ್ರೈಜ್	abel prize
ಅಬೆದಾರೆ	aberdare
ಅಬೆರ್ದಾರೆ	aberdare
ಅಬರ್ಡೀನ್	aberdeen
ಅಭಯ್‌ಪುರ್	abhaipur
ಅಭಯ್	abhay
ಅಭಯ	abhaya
ಅಭಯಾನಂದ	abhayananda
ಅಭಯ್‌ನಂದ	abhaynanda
ಅಭೀಕ್	abheek
ಅಭೀರ್	abheer
ಅಭಿಭಾವ್	abhibhav
ಅಭಿಹಿತ್	abhihit
ಅಭಿಜಾತ್ಯ	abhijaty
ಅಭಿಜಿತ್ ಕಾಳೆ	abhijit kale
ಅಭಿಜ್ವಲ	abhijvala
ಅಭಿಜ್ವಾಲ	abhijwaala
ಅಭಿಜ್ವಾಲಾ	abhijwaalaa
ಅಭಿಜ್ವಾಲ	abhijwala
ಅಭಿಲಾಷಾ	abhilasahaa
ಅಭಿಮಾನ್	abhimaan
ಅಭಿಮನ್ಯು	abhimanyu
ಅಭಿನಭಾಸ್	abhinabhas
ಅಭಿನಂದಾ	abhinanda
ಅಭಿನಂದಾ	abhinandaa
ಅಭಿನಂದನ್	abhinandan
ಅಭಿನವ್	abhinav
ಅಭಿರೂಪ್	abhiroop
ಅಭೀರು	abhiru
ಅಭಿರೂಪ	abhirup
ಅಭಿಷೇಕ್	abhishek
ಅಭಿಶೋಕ್	abhishok
ಅಭಿಶೋಕ	abhishoka
ಅಭಿಶೋಕ್	abhisok
ಅಭಿಶೋಕ	abhisoka
ಅಭಿಸುಮತ್	abhisumat
ಅಭಿಷ್ಯಂತ್	abhisyant
ಅಭಿಷ್ಯಂತ	abhisyanta
ಅಭ್ರ	abhr
ಅಭ್ರ	abhra
ಅಭ್ರಕಾಸಿನ್	abhrakasin
ಅಭುರ್	abhur
ಅಭ್ಯುದಯ್	abhyuday
ಅಭ್ಯುದಿತಾ	abhyudita
ಅಬಿಂಗ್ಟನ್	abington
ಅಬ್ನೂರ್	abnur
ಅಬೋಧ್	abodh
ಅಬೋಹರ್	abohar
ಅಬು ಬೆನ್ ಅಧೇಮ್	abou ben adhem
ಅಬ್ರಾದ್	abrad
ಅಬ್ರಾಶ್	abrash
ಅಬುಲ್ ಫಜಲ್	abul fazal
ಅಬಂಡಂಟ್ ಲೈಫ್ ಕ್ರಿಶ್ಚಿಯನ್ ಫೆಲೊಶಿಪ್	abundant life christian fellowship
ಅಬ್ಯಾದ್	abyad
ಎಕಾಲಿಯಾ	accalia
ಆಚಾರ್ಯನಂದನ	achaaryanandana
ಆಚಾರ್ಯನಂದನ್	achaarynandan
ಆಚಾರ್ಯನಂದನ	achaarynandana
ಅಚಲಾ	achalaa
ಅಚಲ್ಡಾ	achalda
ಅಚಲೇಶ್ವರ್	achaleshvar
ಅಚಲೇಶ್ವರ್	achalesvar
ಅಚಲೇಶ್ವರ	achalesvara
ಅಚಲೇಶ್ವರ	achaleswara
ಅಚಲ್‌ಗಂಜ್	achalganj
ಅಚಂದ್	achand
ಆಚಾರ್ಯನಂದನಾ	acharyanandanaa
ಆಚಾರ್ಯಸುತ	acharyasut
ಆಚಾರ್ಯಸುತ	acharyasuta
ಆಚಾರ್ಯನಂದನ	acharynandana
ಆಚಾರ್ಯನಂದನಾ	acharynandanaa
ಆಚಾರ್ಯಸುತ	acharysut
ಆಚಾರ್ಯಸುತ	acharysuta
ಅಚ್ಛಾ ಬುರಾ	achcha bura
ಅಚ್ನೆರಾ ಜಂಕ್ಷನ್	achhnera junction
ಅಚಿಂದ್ರ	achindra
ಅಚಿಂತ್ಯ	achinty
ಅಚಿಂತ್ಯ	achintya
ಅಚ್ಯುತರಾಯ	achyutraay
ಅಚ್ಯುತರಾಯ	achyutray
ಆರ್ಕೋಪೊಲೀಸ್ ಮ್ಯೂಸಿಯಂ	acropolis museum
ಆಕ್ಷನ್ಸ್ ಸೆಮಿಕಂಡಕ್ಟರ್	actions semiconductor
ಏಕ್ಟನ್	acton
ಆಕ್ಟ್ರೆಸ್	actress
ಆಕ್ಟುನ್ ಕಾವಾ	actun kaua
ಅದಾ	adaa
ಅಡೈರ್	adair
ಆದಂ ಬ್ಯಾಚರ್	adam bacher
ಆದರ್ಶಿ	adarshi
ಅದಾವಿ	adawi
ಅಬ್ದುಲ್ ಕಾವಿ	adbul qawi
ಅಡ್ಡಿಸ್ ಅಬಾಬಾ	addis ababa
ಆಡಿಸನ್	addison
ಅಡೋ ಎಲಿಫೆಂಟ್	addo elephant
ಅಡೀಲ್	adele
ಅಡೆಲೀ	adelie
ಏಡೆರಿನ್	aderyn
ಆದೇಶ್	adesh
ಅದಗಾಂವ್ ಬುಜುರ್ಗ್	adgaon buzurg
ಅಧೀರಾ	adheeraa
ಅಧಿಕಾರ್	adhikar
ಅಧಿಕಾರಿ	adhikari
ಅಧಿವರ್	adhiwar
ಅಧೋಕ್ಷಜ	adhokshaj
ಆಡಿಡಾಸ್	adidas
ಅದಿಲಾಬಾದ್	adilabad
ಆದಿಲಾಬಾದ್	adilabad
ಆದಿಮೂರ್ತಿ	adimoorti
ಆದಿಮೂರ್ತಿ	adimurti
ಆದಿನಾರಾಯಣ	adinaarayan
ಆದಿಪುರ್	adipur
ಆದಿಶ್ರೀ	adishree
ಆದೀಶ್ವರ್	adishvar
ಆದಿತ್ಯ	adity
ಆದಿತ್ಯಾ	adityaa
ಆದಿತ್ಯಾಪುರ್	adityapur
ಆದಿತ್ಯವರ್ಧನ್	adityavardhan
ಆಡ್‌ಲ್ಯಾಬ್ ಫಿಲ್ಮ್ಸ್	adlabs films
ಅಡಾಲ್ಫ್ ಹಿಟ್ಲರ್	adolf hitler
ಆಡಾಲ್ಫೋ	adolfo
ಅಡಾಲ್ಫ್	adolph
ಅಡೋನಿಯಾ	adonia
ಅಡೋನಿಸ್	adonis
ಅಡೋರಾ	adora
ಅಡ್ರಿಯಾನ್	adrian
ಅಡ್ರಿಯಾನ್ ಕೀಪರ್	adrian kuiper
ಅಡ್ರಿಯಾನೊ	adriano
ಆಡ್ರಿಯಾಟಿಕ್	adriatic
ಎಡ್ರೀನ್	adrienne
ಅದ್ವಾಕೀ	advaaki
ಅದ್ವೇ	advay
ಆಡ್ವೆಂಟ್ ಕ್ರಿಶ್ಚಿಯನ್	advent christian
ಅದ್ವಾಕೀ	adwaakee
ಅದ್ವೈತ್	adwait
ಅದ್ವಾಕೀ	adwakee
ಆದ್ಯನ್	adyan
ಏರೋಬಿಕ್ಸ್	aerobics
ಏರೋನಾ	aerona
ಏಟ್ನಾ	aetna
ಅಫದಲ್	afadal
ಅಫಾಫ್	afaf
ಅಫಾಫುರಾ	afafura
ಅಫಸಾನಾ	afasaanaa
ಅಫಸಾನಾ	afasana
ಅಫ್ದಲ್	afdal
ಅಫೀಫ್	afif
ಅಫಲಾತೂನ್	aflatoon
ಆಫಲಾತೂನ್ ಔರತ್	aflatoon aurat
ಅಫ್ರಾ	afra
ಅಫ್ರೋಜ್	afroze
ಅಫ್ಸಾನಾ ಪ್ಯಾರ್ ಕಾ	afsana pyar ka
ಅಫ್ತಾಬ್	aftab
ಅಫ್ಟೆಕ್ ಇನ್ಫೋಸಿಸ್	aftek infosys
ಅಗಾಥ	agaatha
ಅಗಾಥಾ	agaathaa
ಆಗಮ್	agam
ಅಗಾಪೆ	agape
ಅಗರ್ ತುಮ್ ನಾ ಹೋತೆ	agar tum na hote
ಅಗರ್ತಲಾ	agartala
ಅಗಸ್ತಿ	agasti
ಅಗಥಾ	agathaa
ಅಗಟಾನ್ ಫೋರ್ಟ್	agaton fort
ಏಜೆಂಟ್	agent
ಏಜೆಂಟ್ ವಿನೋದ್	agent vinod
ಅಗರ್	agharr
ಅಗ್ವಾನ್‌ಪುರ್	aghwanpur
ಅಗ್ನಿಪಥ್	agneepath
ಅಗ್ನಿ ಚಕ್ರ	agni chakra
ಅಗ್ನಿ ಮೋರ್ಚಾ	agni morcha
ಅಗ್ನಿ ಪ್ರೇಮ್	agni prem
ಅಗ್ನಿ ರೇಖಾ	agni rekha
ಅಗ್ನಿಜ್	agnij
ಅಗ್ನಿಜ	agnija
ಅಗ್ನಿಕುಮಾರ್	agnikumaar
ಅಗೋರಿಖಾಸ್	agori khas
ಅಗೊರೊಟ್	agorot
ಆಗೋಶ್	agosh
ಅಗೋಸ್ಟಿನೋ	agostino
ಆಗ್ರಾ	agra
ಆಗ್ರಾ ಫೋರ್ಟ್	agra fort
ಅಗ್ರಪೂಜ್ಯ	agrapoojy
ಅಗರ್‌ವಾಲ್	agrawal
ಅಗ್ರಿಮಾ	agrimaa
ಅಹಲ್ಯಾ	ahalya
ಅಹಮದ್	ahamad
ಅಹಿಲ್ಯಾ	ahilyaa
ಅಹೀಂದ್ರ	ahindra
ಅಹಿಂನ್ಸಾ	ahinsa
ಆಹ್ಲಾದಿತ್	ahlaadit
ಆಹ್ಲಾದಿತ್	ahladit
ಅಹ್ಲಮ್	ahlam
ಅಹಮದ್ ಅಲ್-ಅರಾಬಿ ಅಲ್-ದರ್ಖಾವಿ	ahmad al-arabi al-darqawi
ಅಹಮದ್ ಅಲ್-ಬಕ್ಕಾಯ್ ಅಲ್-ಕುಂತಿ	ahmad al-bakkai al-kunti
ಅಹಮದ್‌ಗಢ್	ahmadgarh
ಅಹಮದ್‌ನಗರ್	ahmadnagar
ಅಹಮದ್ ಅಲ್-ಬುನಿ	ahmed al-buni
ಅಹಮದ್ ಅರ್-ರಿಫಾಯ್	ahmed ar-rifai
ಅಹಮದ್ ಯೆಸೆವಿ	ahmed yesevi
ಅಹ್ಮದಾಬಾದ್	ahmedabad
ಅಹ್ನಾತ್	ahnaf
ಅಹೋಬಿಲಂ	ahobilam
ಅಹ್ಸಾನ್	ahsan
ಅಹ್ವಾನೆ	ahwahnee
ಅಹ್ವಾಸ್	ahwas
ಅಹ್ಜಾಬ್	ahzab
ಐಲೀನ್	aileen
ಏಮೀ	aimee
ಐನ್‌ಸ್ಲಿ	ainsley
ಐನ್‌ಸ್ಲಿ	ainslie
ಏರ್ ಫ್ರಾನ್ಸ್ ಕೆಎಲ್ಎಂ ಗ್ರೂಪ್	air france klm group
ಏರ್ ಮೇಲ್	air mail
ಏರ್-ಇಂಡಿಯಾ	air-india
ಏರೆಲ್	airell
ಐಸಿನ್ ಸೈಕಿ	aisin seiki
ಐಸ್ಲಿನ್	aislinn
ಐತಲ್	aithal
ಆಜಾದ್	ajaad
ಅಜಾತಶತ್ರು	ajaatashatru
ಅಜಾತ್‌ಶತ್ರು	ajaatshatru
ಅಜಮಿಳ್	ajamil
ಅಜಾಮಿಲ್	ajamil
ಅಜಂತಾ ಎಲ್ಲೋರಾ	ajanta ellora
ಅಜರ್	ajar
ಅಜರದಾ	ajaradaah
ಅಜಾತ್‌ಶತ್ರು	ajatshatru
ಅಜಯ್	ajay
ಅಜಯ್ ಜಡೇಜಾ	ajay jadeja
ಅಜೀಬ್ ಇತ್ತೆಫಾಕ್	ajeeb ittefaq
ಅಜೀಬ್ ಲಡಕಿ	ajeeb ladki
ಅಜೀಬಾ	ajeebaah
ಅಜೇಂದ್ರ	ajendra
ಅಜ್‌ಗೈನ್	ajgain
ಅಜಿರ್ ಅಸೋಮ್	ajir asom
ಅಜೀಶ್	ajish
ಅಜಿತಾಭ್	ajitaabh
ಅಜಿತೇಶ್	ajitesh
ಅಜಿಲಾ	ajlah
ಅಜ್ಮಲ್	ajmal
ಅಜ್ಮಾನಿ	ajmani
ಆಜ್ಮೆರ್ ಜಂಕ್ಷನ್	ajmer junction
ಅಜನಬಿ ಸಾಯಾ	ajnabi saaya
ಅಜೂಬಾ	ajooba
ಅಜ್ರದಾ	ajradaah
ಅಜ್ರದಾ	ajradah
ಅಜ್ವಾಡ್	ajwaad
ಅಜ್ವಡ್	ajwad
ಆಕಾರ್	akaar
ಅಕಲ್‌ಗಡಿಯಾ	akalgadiya
ಅಕಲ್ಕೋಟ್ ರೋಡ್	akalkot road
ಅಕಲ್ಮಂದ್	akalmand
ಅಕಲ್ಮಶ್	akalmash
ಆಕರ್	akar
ಆಕರ್ಷಣ್	akarshan
ಆಕಾಶ್	akash
ಆಕಾಶ್ ಪರಿ	akash pari
ಆಕಾಶ	akasha
ಅಕಾಶಿ-ಕೈಕ್ಯೊ	akashi-kaikyo
ಅಕಬರಪುರ್	akbarpur
ಅಕೀಲ್	akeel
ಅಕೇಲೆ ಹಮ್ ಅಕೇಲೆ ತುಮ್	akele hum akele tum
ಅಖಂಡ್ ಸೌಭಾಗ್ಯವತಿ	akhand saubhagyawati
ಅಖ್ಫಾಶ್	akhfash
ಅಖಿಲ್	akhil
ಅಖ್‌ಲಾಕ್	akhlaaq
ಆಖರೀ ಮುಕಾಬಲಾ	akhri muqabla
ಅಖ್ತರ್	akhtar
ಅಕಿ	aki
ಅಕಿಲ್	akil
ಅಕಿಲಾ ಡೈಲಿ	akila daily
ಅಕಿರಾ	akira
ಅಕ್ಮಾಲ್	akmaal
ಅಕ್ಮಲ್	akmal
ಅಕೋಲಾ ಜಂಕ್ಷನ್	akola junction
ಅಕೋಲ್ನೇರ್	akolner
ಅಕೋಸೋಂಬೋ ಡ್ಯಾಮ್	akosombo dam
ಅಕ್ರಮ್	akram
ಅಕ್ರಮ ಖಾನ್	akram khan
ಅಕ್ರಮ್ ರಾಜಾ	akram raza
ಅಕ್ಷಯ್	akshay
ಅಕ್ಷಿತ್	akshit
ಅಕ್ಷಿತ	akshita
ಅಕ್ಷಿತಾ	akshitaa
ಅಕುಲ್	akul
ಅಕುಟಗವಾ ಪ್ರೈಜ್	akutagawa prize
ಏಕ್ಜೋ ನೊಬೆಲ್	akzo nobel
ಅಲ್	al
ಅಲ್ ಗಜಾಲಿ	al ghazali
ಅಲ್ ಪಸಿನೋ	al pacino
ಅಲ್ ಸಹಾರಿಯರ್	al sahariar
ಅಲಾ	ala
ಅಲಾಬಾಮಾ	alabama
ಅಲಾದೀನ್ ನಾಲೆಡ್ಜ್ ಸಿಸ್ಟಮ್ಸ್ ಲಿಮಿಟೆಡ್	aladdin knowledge systems limited
ಅಲೆನ್	alain
ಅಲೈನಾ	alaina
ಅಲಕಾ	alaka
ಅಲಖ್ ನಿರಂಜನ್	alakh niranjan
ಆಲಮ್ ಅರಾ ಕೀ ಬೇಟಿ	alam ara ki beti
ಆಲಮಟ್ಟಿ ಡ್ಯಾಮ್	alamatti dam
ಅಲ್ಮಗಿರ್ ಕಬಿರ್	alamgir kabir
ಅಲಂನಗರ್	alamnagar
‌ಅಲನ್ ಇಗ್ಲೆಸ್‌ಡನ್	alan igglesden
ಅಲನ್ ಮುಲ್ಲಾಲಿ	alan mullally
ಅಲನ್ ಟರ್ನರ್	alan turner
ಅಲಾನಾ	alana
ಅಲಾನಿಸ್	alannis
ಆಲಾಪ್	alap
ಅಲರಿಸ್	alarice
ಅಲಾಸ್ಟೇರ್ ಕುಕ್	alastair cook
ಅಲಾವುದ್ದೀನ್ ಅಲಿ ಅಹಮದ್ ಸಬೀರ್	alauddin ali ahmed sabir kalyari
ಅಲಾರಾ	alaura
ಅಲೇನಾ	alayna
ಅಲ್ಬಟ್ರಾಸ್	albatross
ಅಲ್ಬೇಲಾ	albela
ಅಲ್ಬೇಲಾ ಮಸ್ತಾನಾ	albela mastana
ಅಲ್ಬೇಲೀ	albeli
ಅಲ್ಬರ್ಟ್	albert
ಅಲ್ಬರ್ಟ್ ಮೆಡಲ್	albert medal
ಆಲ್ಬರ್ಟ್ ಪಿಂಟೊ ಕೊ ಗುಸ್ಸಾ ಕ್ಯು ಆತಾ ಹೈ	albert pinto ko gussa kyon ata hai
ಅಲ್ಬಿಯನ್	albion
ಅಲ್ಬೊರಾನ್	alboran
